has_policy,actively_managed,breached,weighted_n,proportion
0,0,0,6998.43074442,0.33426359190088606
0,0,1,3088.30655463,0.14750570228400925
0,1,0,1558.6023141800001,0.07444297541962988
0,1,1,1215.8282166899999,0.05807117648042531
1,0,0,1612.8697330300001,0.07703493110376006
1,0,1,1574.23496426,0.07518963219991405
1,1,0,2221.23773139,0.10609219833348946
1,1,1,2667.35188849,0.12739979227788598
