year,governance_score_A,governance_score_B,breach_pct,participant_count
2018,0.2836158994434907,0.374039378722421,0.37323136326678163,2088
2019,0.3427841851799723,0.43790227839836593,0.30415927884615385,2080
2020,0.40849367918170926,0.4911529699761511,0.4529780670681075,1900
2021,0.383748564483259,0.4671576320323663,0.3988874131221118,2284
2022,0.43403861685809847,0.5157552232701811,0.43172569701911534,2157
2023,0.376050174738951,0.45966276327193006,0.35436382855115156,3991
2024,0.3995907139951554,0.47860945913949005,0.47982859513097437,3434
2025,0.4287753316556391,-0.8412934506656211,0.434176650309241,3835
