year,org_size,org_size_order,governance_score_A,governance_score_B,breach_pct,org_count
2018,Micro,1,0.2540442142202008,0.35757812384091386,0.4027014821603449,655
2018,Small,2,0.39521003416225686,0.47927575979208203,0.47473999082045537,349
2018,Medium,3,0.5368206982861022,0.5971356818117541,0.6442520761281505,263
2018,Large,4,0.6427322946004425,0.6881849170182162,0.7578934769599043,252
2019,Micro,1,0.2970730375763694,0.40215470609686416,0.2776472511596144,770
2019,Small,2,0.4362699742998214,0.5196955234519501,0.41342344121281777,330
2019,Medium,3,0.6104978498521866,0.6617850074881014,0.4414750770596649,301
2019,Large,4,0.7146896667583005,0.7652619115495961,0.4640561653317512,214
2020,Micro,1,0.3243225665530578,0.4210865694615986,0.43569349772015753,644
2020,Small,2,0.5133592121857196,0.5832470286473498,0.6169027599778827,286
2020,Medium,3,0.6224620360489609,0.6780808331720962,0.695279657383359,223
2020,Large,4,0.6002799593520555,0.684994171252272,0.7592502124754901,221
2021,Micro,1,0.28577313091666084,0.38870805952054743,0.3798339912957115,746
2021,Small,2,0.48366458041127014,0.5562162448986376,0.39611757390584695,275
2021,Medium,3,0.6366683930916776,0.6743777039130114,0.6248859906626082,219
2021,Large,4,0.6585449045421574,0.6959395476534672,0.7293510548011639,208
2022,Micro,1,0.283047025559537,0.39001860090625007,0.3661525566914633,698
2022,Small,2,0.4062920390459596,0.4924629962715231,0.5053706471111638,272
2022,Medium,3,0.5210046130743384,0.5926933247866017,0.6186751146942228,154
2022,Large,4,0.7286440102397995,0.7330576017739697,0.5855636114094761,141
2023,Micro,1,0.2701317449220342,0.36951762536556826,0.32928055117383304,1411
2023,Small,2,0.4177545052959189,0.5035826530822389,0.3361985281180418,456
2023,Medium,3,0.5427167040391112,0.6182832120199192,0.5408914277528069,310
2023,Large,4,0.691439548429983,0.7454072480042264,0.7069103909772588,236
2024,Micro,1,0.28947297435860603,0.3854154507501504,0.4820901484538341,1060
2024,Small,2,0.4239944414677885,0.5060241276908515,0.5878730661824846,506
2024,Medium,3,0.606566868590936,0.6653187519576262,0.7388268988408776,264
2024,Large,4,0.6532761540053779,0.709205305307414,0.8131470954784479,170
2025,Micro,1,0.2848367484692733,0.37714876155323535,0.42017804374465206,1014
2025,Small,2,0.5307546257607452,0.5817658230754228,0.5109531731070557,565
2025,Medium,3,0.6338939332432448,0.67383977572341,0.6813104361370927,413
2025,Large,4,0.7617143715368985,0.8018147446131602,0.795647502035198,188
